Gender,breakfast,calories_day,coffee,cook,cuisine,drink,eating_out,employment,exercise,fruit_day,greek_food,healthy_feeling,ideal_diet_coded,income,italian_food,marital_status,on_off_campus,pay_meal_out,self_perception_weight,sports,veggies_day,vitamins,weight
2,1,4,2,5,3,2,3,3,3,4,3,7,3,1,4,2,1,2,4,1,4,2,70
2,2,2,2,4,6,2,3,3,3,3,3,4,2,5,4,4,3,2,5,2,2,2,67
2,1,3,2,4,3,1,5,3,4,4,3,4,1,2,4,1,2,3,3,2,5,1,75
1,1,3,2,3,3,1,2,3,5,4,3,6,2,1,3,2,2,6,3,1,4,2,75
2,1,3,1,2,3,2,2,3,4,4,3,7,2,1,3,1,1,3,3,1,4,2,75
2,0,3,2,3,3,1,3,3,1,2,3,7,1,1,3,1,4,2,3,1,5,2,70
2,2,3,2,2,3,1,2,3,4,3,3,7,7,0,3,2,1,5,5,1,3,1,65
1,1,1,2,2,3,0,2,3,4,5,2,7,6,0,3,1,3,3,6,1,4,2,48
1,1,3,2,3,6,1,5,2,4,5,3,6,1,1,3,2,3,3,3,1,4,2,44
1,2,3,1,4,3,2,2,3,4,4,3,5,3,0,3,2,1,4,4,1,3,1,97
2,0,3,2,4,3,2,2,3,2,5,0,8,1,0,4,1,1,1,4,1,5,2,70
1,1,4,1,3,3,1,2,3,1,3,3,4,2,1,4,1,3,2,4,1,4,2,48
2,0,1,1,5,3,1,3,3,4,2,4,6,1,1,3,1,1,3,3,2,3,2,66
2,1,3,1,4,3,1,2,3,5,3,3,4,1,1,4,1,3,5,3,2,4,1,83
1,1,3,2,1,3,1,2,3,4,4,3,8,1,0,4,4,4,2,3,2,4,2,120
1,0,4,2,4,3,1,2,3,5,3,3,10,3,6,3,1,1,5,6,1,2,2,60
1,1,3,2,5,3,1,5,3,2,4,3,7,1,1,3,1,1,2,5,1,5,2,52
1,1,1,1,3,3,0,2,3,5,3,2,9,1,1,2,2,3,0,5,2,3,2,48.5
2,1,4,1,2,3,1,3,3,2,5,2,5,1,0,4,1,2,3,3,1,4,1,75
1,1,3,2,5,3,1,3,4,3,4,0,7,3,2,2,1,1,3,4,0,3,2,47
2,1,1,2,2,3,2,3,2,3,3,3,7,4,1,4,2,2,5,4,2,5,2,68
2,2,4,2,5,3,2,3,3,2,4,3,7,1,1,3,1,1,2,3,1,4,2,85
1,1,1,2,3,6,1,4,0,5,4,3,7,6,1,4,2,1,2,6,2,4,2,49
2,2,3,0,3,6,1,4,3,3,3,3,5,1,0,3,1,1,4,3,1,3,2,75
2,1,3,1,4,3,1,3,3,1,5,3,6,3,1,3,1,1,2,4,1,4,2,75
2,1,1,0,2,1,2,4,0,4,5,3,7,3,0,4,2,1,5,3,1,1,2,80
2,2,4,2,5,3,1,4,3,1,3,3,7,1,1,3,2,1,1,3,1,5,2,78
1,1,1,2,4,6,1,2,0,5,3,0,8,3,0,0,4,4,0,5,1,4,2,57
1,0,1,1,3,6,1,0,3,5,3,3,7,2,6,4,3,3,0,6,2,4,2,42
2,1,1,2,5,3,1,2,3,1,4,3,6,3,1,4,1,1,2,5,2,3,2,64
1,1,4,2,1,3,1,3,1,2,5,4,7,1,3,4,1,4,3,3,1,5,1,52
2,1,3,1,3,3,1,3,3,2,3,2,7,2,1,2,1,1,3,3,1,4,2,75
1,1,3,2,4,3,1,2,2,1,4,3,7,3,0,3,1,1,5,3,1,3,2,55
2,1,3,2,5,3,1,3,0,2,3,3,7,3,0,3,1,1,3,5,1,3,2,63
